schema_version,destination_id,airport_id,tourism_rank,tourism_score,destination_name,weather_region,season,airport_filter,best_highlight,best_highlight_type,best_access_mode,best_access_minutes,best_distance_km,city_status,beach_status,lake_status,mountain_status,wellness_status,transfer_default,transfer_minutes,tourism_comment,tourism_confidence,source_tourism,data_checked_at
1.2,EPJA,EPJA,74,7.5,Jastarnia / Halbinsel Hel,,,aktiv – Qualitätsliste,Plaża Jastarnia,Strand,zu Fuß,15,0.95,Nein,Ja,Nein,Nein,Ja,Fahrrad in der Umgebung,,Strand auf beiden Seiten der Halbinsel; Wellnesscluster Richtung Jurata.,hoch,https://www.jastarnia.pl/,2026-08-02
1.2,LOGM,LOGM,75,7.5,Mariazell / Erlaufsee / Bürgeralpe,,,aktiv – Qualitätsliste,Badestrand Erlaufsee,See,Fahrrad,11,2.17,Nein,Nein,Ja,Ja,Nein,Taxi/ÖPNV/Transfer prüfen,,"Kompakter Sommer- und Winterausflug mit Badesee, Booten, Rundweg, Bergbahn und Wanderwegen. PPR/HX und alpine Platzlage beachten.",hoch,https://www.mariazell.at/sommer/der-erlaufsee/,2026-08-02
1.2,EDWG,EDWG,76,7.4,Wangerooge,,,aktiv – Qualitätsliste,Hauptstrand Wangerooge,Strand,Fahrrad,8,1.56,Nein,Ja,Nein,Nein,Grenzfall,Fahrrad in der Umgebung,,"Strand klar; Wellness vorhanden, aber kleiner als Norderney/Sylt.",mittel,https://www.wangerooge.de/,2026-08-02
1.2,ESMH,ESMH,77,7.2,Höganäs / Kullen,,,aktiv – Qualitätsliste,Höganäs havsbad,Strand,Fahrrad,10,1.92,Nein,Ja,Nein,Grenzfall,Nein,Taxi/ÖPNV/Transfer prüfen,,"Küste klar; Kullaberg ist spektakuläres Höhen-/Klippenwandern, aber kein klassisches Gebirge.",mittel,https://www.visitskane.com/,2026-08-02
1.2,LFRG,LFRG,78,7.2,Deauville / Honfleur,,,aktiv – Qualitätsliste,"Les Planches, Deauville",Strand,Fahrrad,33,6.25,Nein,Ja,Nein,Nein,Ja,Mietwagen direkt,,Strand per Rad am Grenzwert; Wellness sehr stark.,mittel,https://www.indeauville.fr/,2026-08-02
1.2,LIEE,LIEE,79,7,Cagliari / Poetto,,,aktiv – Qualitätsliste,"Spiaggia del Poetto, Cagliari",Strand,Auto,17,11.28,Nein,Ja,Nein,Nein,Nein,Mietwagen direkt,,"Poetto am Grenzwert; Molentargius ist Natur-/Lagunenraum, aber kein touristischer See nach enger Definition.",hoch,https://cagliariturismo.comune.cagliari.it/,2026-08-02
1.2,LJMB,LJMB,80,7,Maribor / Pohorje,Steiermark/Slowenien,Herbst/Winter,Mit Vorbehalt,"Hotel Habakuk, Maribor",Wellness,Auto,13,8.82,Nein,Nein,Nein,Ja,Ja,Taxi/Mietwagen,25,Pohorje-Seilbahn liegt stadtnah und erschließt direkt Wanderwege.,hoch,https://www.visitmaribor.si/en/,2026-08-02
1.2,LKKV,LKKV,81,6.9,Karlovy Vary,Böhmen,Ganzjährig,Passt,Thermalkolonnade Karlovy Vary,Wellness,Fahrrad,16,3.15,Nein,Nein,Nein,Ja,Ja,Transfer inklusive Paket,15,Klassisches europäisches Kur- und Wellnessziel mit Waldwanderungen.,hoch,https://www.karlovyvary.cz/en,2026-08-02
1.2,LOSM,LOSM,82,6.8,Mauterndorf / Lungau,,,aktiv – Qualitätsliste,Großeckbahn Mauterndorf,Berg,Fahrrad,11,2.07,Nein,Nein,Nein,Ja,Nein,Taxi/ÖPNV/Transfer prüfen,,"Außergewöhnliches Bergziel mit Almen, Bergbahnen und Wandern. Höchster Alpenflugplatz Österreichs; Gras, 3642 ft, Dichtehöhe und Föhn sind zentrale Hinweise.",hoch,https://www.losm.at/en/pilot-information.html,2026-08-02
1.2,EBSP,EBSP,83,8.8,Spa / Ardennen,Ardennen / Hohes Venn,Ganzjährig,Passt mit PPR/Windlimit,Thermes de Spa,Wellness,Taxi,10,4,Nein,Nein,Ja,Ja,Ja,Taxi,10,"Sehr nahes Auslandsziel mit traditionsreichem Kurort, Thermen, Ardennen/Hohes Venn und Lac de Warfaaz. Restaurant direkt am Flugplatz.",hoch,https://www.visitspa-hautesfagnes.be/en/,2026-08-03
1.2,EDKM,EDKM,84,8.7,Meschede / Hennesee,Sauerland,Frühling–Herbst,Passt mit Mittelgebirge/PPR-Verfahren,Hennesee,See,Taxi,12,7,Nein,Nein,Ja,Ja,Nein,Taxi,12,"Landschaftlich starkes Sauerlandziel mit Hennesee, Wandern, Rad- und Wassersport. Flugplatzrestaurant unmittelbar am Vorfeld.",hoch,https://www.meschede.de/freizeit-kultur/ferienregion-touristinfo,2026-08-03
1.2,EHLE,EHLE,85,8.6,Lelystad / Aviodrome,Flevoland / Markermeer,Ganzjährig,Passt mit kontrolliertem Luftraum,Luchtvaartmuseum Aviodrome,Luftfahrtmuseum,zu Fuß,5,0.4,Nein,Nein,Ja,Nein,Nein,zu Fuß zum Aviodrome / Taxi oder Mietwagen,5,"Starkes Luftfahrt-Ausflugsziel direkt am Platz; zusätzlich Markermeer, Bataviastrand und Oostvaardersplassen. Gastronomie am Platz vor Abflug aktuell bestätigen.",hoch,https://www.aviodrome.nl/en/,2026-08-03
1.2,EHHV,EHHV,86,8.5,Hilversum / Loosdrecht,Gooi & Vecht,Frühling–Herbst,Passt mit Grasbahn,Loosdrechtse Plassen,See / Wassersport,Taxi/Fahrrad,15,6,Nein,Nein,Ja,Nein,Nein,Taxi auf Anfrage / Fahrrad,15,"Klassischer niederländischer Grasplatz mit Restaurantterrasse; Loosdrechtse Plassen bieten Boot, SUP, Kanu und kleine Strände.",hoch,https://www.visitgooivecht.nl/en/locations/4151684671/loosdrechtse-plassen,2026-08-03
1.2,EDLA,EDLA,87,7.8,Arnsberg-Menden,Sauerland,Ganzjährig,TechStop,Sauerland und Möhnetal,Natur,Taxi,15,5,Nein,Nein,Ja,Ja,Nein,Taxi,15,Technischer Zwischenstopp mit Naturzugang im Sauerland.,mittel,https://www.sauerland.com/,2026-08-09
1.2,EDMB,EDMB,88,7.3,Biberach,Oberschwaben,Ganzjährig,TechStop,Biberach an der Riß,Stadt,Taxi,10,3,Ja,Nein,Nein,Nein,Nein,Taxi,10,Solider technischer Zwischenstopp nahe Biberach.,mittel,https://www.biberach-tourismus.de/,2026-08-09
1.2,EDVE,EDVE,89,7.4,Braunschweig-Wolfsburg,Niedersachsen,Ganzjährig,TechStop,Braunschweig,Stadt,Bus/Taxi,15,8,Ja,Nein,Nein,Nein,Nein,Bus/Taxi,15,Professioneller technischer Zwischenstopp mit Stadtoption.,mittel,https://www.braunschweig.de/tourismus/,2026-08-09
1.2,EDXF,EDXF,90,8.4,Flensburg,Schleswig-Holstein,Ganzjährig,Passt,Stiftungsland Schäferhaus,See / Natur,zu Fuß,10,1,Ja,Nein,Ja,Nein,Nein,Bus,10,Natur direkt am Flugplatz; Stadt und Ostseeküste per Bus erreichbar.,hoch,https://www.stiftungsland.de/,2026-08-09
1.2,EDXB,EDXB,91,8.8,Heide-Büsum,Nordsee,Frühling–Herbst,Passt,Büsum und Nordseestrand,Strand / Meer,Fahrrad,20,5,Nein,Ja,Nein,Nein,Nein,Fahrrad/Taxi,15,Nordseestrand und Büsum etwa fünf Kilometer vom Platz entfernt.,hoch,https://www.buesum.de/,2026-08-09
1.2,EDAX,EDAX,92,8.7,Müritz Airpark,Mecklenburgische Seenplatte,Frühling–Herbst,Passt,Müritz und Seenlandschaft,See / Natur,Fahrrad/Mietwagen,20,8,Nein,Nein,Ja,Nein,Nein,Fahrrad/Mietwagen,15,Starker Natur- und Seezugang; Mobilität direkt am Platz gemeldet.,hoch,https://www.mueritz-airpark.de/flugplatz/daten/,2026-08-09
1.2,ETHN,ETHN,93,7.2,Niederstetten,Taubertal,Ganzjährig,TechStop,Niederstetten,Technischer Stopp,Taxi,10,2,Nein,Nein,Nein,Nein,Nein,Taxi,10,Technischer Zwischenstopp auf militärisch-zivil genutztem Platz.,mittel,https://www.flugplatz-ethn.de/Flugplatz,2026-08-09
1.2,LOAN,LOAN,94,8.0,Wiener Neustadt,Industrieviertel,Ganzjährig,Passt,Wiener Neustadt,Stadt,Taxi,10,3,Ja,Nein,Nein,Nein,Nein,Taxi,10,Stadtnaher österreichischer Flugplatz.,hoch,https://www.wiener-neustadt.at/de/tourismus,2026-08-09
1.2,EGHJ,EGHJ,95,8.5,Bembridge / Isle of Wight,Isle of Wight,Frühling–Herbst,aktiv – Qualitätsliste A+,Bembridge Beach und Küstenweg,Strand,Zu Fuß,10,,Nein,Ja,Ja,Nein,Ja,Zu Fuß/Taxi,10,"Küstenweg und Strand liegen sehr nah; Bembridge Harbour, Brading Marshes und Spa sind schnell erreichbar.",hoch,https://www.visitisleofwight.co.uk/things-to-do/activities/wildlife,2026-08-13
1.2,EGHF,EGHF,96,8.6,Solent / Lee-on-Solent,Solent / Hampshire,Frühling–Herbst,aktiv – Qualitätsliste A+,Lee-on-Solent Beach,Strand,Zu Fuß,5,,Nein,Ja,Ja,Nein,Ja,Zu Fuß/Bus/Taxi,5,"Strand praktisch direkt am Platz; Titchfield Haven, River Meon und ein anerkanntes Spa liegen in kurzer Fahrdistanz.",hoch,https://www.hants.gov.uk/thingstodo/titchfield,2026-08-13
1.2,EGMD,EGMD,97,8.2,Lydd / Dungeness,Kent / Dungeness,Ganzjährig,aktiv – Qualitätsliste A+,Dungeness und Romney Marsh,See / Natur,Taxi/Auto,15,,Nein,Ja,Ja,Nein,Ja,Taxi/Auto,15,"Channel-Gateway und eigenständiges Küsten- und Naturziel; Spa in Hythe innerhalb von rund 35 Minuten.",hoch,https://www.gov.uk/government/publications/kents-national-nature-reserves/kents-national-nature-reserves,2026-08-13
1.2,EGHQ,EGHQ,98,9.0,Newquay / Cornwall,Cornwall,Frühling–Herbst,aktiv – Qualitätsliste A+,Newquay und Watergate Bay,Stadt / Strand,Mietwagen/Taxi/Bus,15,,Ja,Ja,Ja,Nein,Ja,Mietwagen/Taxi/Bus,15,"Fly-&-Drive-Ziel für Strände, Gannel Estuary, Cornwall und das nahe Scarlet Eco Spa.",hoch,https://www.visitnewquay.org/explore/the-gannel,2026-08-13
1.2,EGKH,EGKH,99,7.8,Headcorn / Kent,Kent,Ganzjährig,aktiv – Qualitätsliste A,Air Warfare Museum,Ausflug,E-Bike/Taxi,10,,Nein,Ja,Ja,Nein,Ja,E-Bike/Taxi,10,"Flugplatz-Ausflugsziel mit Museum; Camber Sands, Bewl Water und Champneys Eastwell Manor liegen innerhalb der gesetzten Fahrzeitgrenzen.",hoch,https://www.headcornaerodrome.co.uk/pilots-page,2026-08-13
1.2,EGHA,EGHA,100,8.3,Compton Abbas / Dorset,Dorset / Cranborne Chase,Frühling–Herbst,aktiv – Qualitätsliste A,Cranborne Chase und Stourhead,See / Natur,Taxi/Auto,30,,Nein,Nein,Ja,Nein,Ja,Taxi/Auto,15,"Scenic Airfield in der Hügellandschaft von Dorset; Stourhead und The Newt Spa sind erreichbar, die Küste nicht verlässlich in 45 Minuten.",hoch,https://cranbornechase.org.uk/,2026-08-13
